 Nom,Nom_bis,Département/Massif,X,Y,EPSG,Alt. ,Denivele,Developpement,Equipement,Temps,debutant,crue,balade,Traversée,Commentaire,url
Perret (Grotte),,Chartreuse,870244.72757,2054843.35819999,27572,445,12,400,non,1,oui,oui,oui,,,
Pinambour (Trou),,Chartreuse,872624.02,2049446.12,,1520,-180,2600,50m,3h,oui,non,,oui,,
Foules (Grottes des),,Jura,873663.23,2159172.32,,702,353,6090,oui,6h,,oui,,,100 plus belles,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=9986
Cure (Grotte du),,Chartreuse,873724.54106,2052688.5322,27572,630,3,400,oui,3,oui,,non,,,
Aven Christine,,Chartreuse,874188.38177,2057254.5399,27572,1440,-192,,oui,5,,,non,,,
CSC 3 a la scia,,Chartreuse,875209.96399,2044377.6875,27572,,,,oui,4,,,non,,,
P106 a la scia,,Chartreuse,875209.96399,2044377.6875,27572,,,,oui,2,,,non,,,
Glaz (Trou du),,Chartreuse,875463.24645,2041249.56979999,27572,1700,,,oui,7,,,non,oui,100 plus belles,
P40,,Chartreuse,875761.74917,2040842.3139,27572,1930,,,oui,7,,,non,oui,100 plus belles,
Chevalier (Grotte ),,Chartreuse,875938.0959,2040358.3822,27572,1670,-160,800,non,4,oui,,oui,,,
Guiers mort ,,Chartreuse,876012.87821,2042351.30089999,27572,1332,,,non,3,oui,,oui,,100 plus belles,
Thérèse (Gouffre),,Chartreuse,876550.7511,2041473.002,27572,1925,598,2600,oui,14,non,,non,,,
Gnocchi (Chourum),,Devoluy,877758.7,1973491.79,,1814,-459,6500,30m,5h30,non,non,,oui,,
Chaupins (Chourum),,Devoluy,878041.11,1972912.04,,1827,309,1310,oui,,,oui,,,100 plus belles,
Guiers Vif,,Chartreuse,878380.73567,2049539.3816,27572,1140,415,15723,non,3,oui,oui,oui,,,
Clot (Chourum),,Devoluy,878394.18,1973004.61,,1730,114,805,corde piolet crampons,4h,,non,,,100 plus belles,
Parza (Chourum de la),,Hautes-Alpes,878635.01,1975905.79,,1770,145,,oui,3h,,non,,,100 plus belles,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=25258
Tasurinchi (Gouffre),,Chartreuse,878794.89,2049651.67,,1445,-400,15000,110m,5h ,non,oui,,oui,,
Masques (Grotte des),,Chartreuse,879012.48,2050339.15,,1382,-331,8000,70m,5h ,non,non,,oui,,
Grand Glacier de Chartreuse (Gouffre du ),,Chartreuse,879917.58648,2054598.6672,27572,1600,371,2926,oui,4,,non,non,,,
Golet du Tambourin,,Chartreuse,879933.94753,2052845.7344,27572,1645,605,71000,oui,6,,oui,non,,,
Pincherin (Grotte de),,Chartreuse,880273.88124,2056714.6432,27572,1716,180,,non,,oui,non,oui,,,
Petit-saint-cassien (Gouffre du),,Var,882533.63,1822962.76,,748,403,10865,oui,10h,,oui,,,100 plus belles,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=139
Garde-Cavale (Trou du garde),,Bauges,884158.36703,2078988.9632,27572,1362,298,45000,oui,,non,,non,,,
Doria (Grotte de la),,Bauges,884225.45276,2074262.9427,27572,,,9115,,,,oui,,,,
Perrin-Cavale,,Bauges,884894.05116,2078641.48729999,27572,1316,,,oui,,,,non,,,
Le Malitou,,Bauges,886330.03988,2083810.43879999,27572,1102,167,4057,oui,,,,non,,,
Chauveroche (Grotte de),,Doubs,887354.19,2238043.15,,,50,8000,canot,22h,,oui,,,100 plus belles,
Creux 222,,Bauges,888201.25976,2082645.01349999,27572,1260,-292,4189,oui,,,,non,,,
Tanne de l'ours rouge,,Bauges,890032.30085,2079193.45439999,27572,1571,127,532,oui,,,,non,,,
Tanne du neve - Tanne aux cochons,,Bauges,890158.093069999,2077261.8321,27572,1465,823,17694,oui,,,,non,,,
Litorne-FE,,Bauges,890274.66252,2087745.3139,27572,1000,870,53806,oui,,,,non,,,
Fitoja Express,,Bauges,890358.93983,2087002.9768,27572,900,169,383,oui,,,,non,,,
Georges-cher (tanne),,Savoie,890431.8,2075934.45,,1410,175,650,oui,6h,,oui,,,100 plus belles,
Prerouge (Grotte de ),,Bauges,892411.52526,2087422.0722,27572,578,870,53806,oui,4h,,oui,,,,
Ours (grotte de l'),,Haute-Savoie,892979.99,2094480.58,,1540,-175,670,oui,4h,,non,,,100 plus belles,
Merveilleuse (Gouffre de la),,,904141.98,1814419.2,,1610,-372,26000,100m,5h ,non,oui,,oui,,
Malatierre (Grotte de),,Doubs,912481.08,2283412.89,,385,51,5442,10m 15m,5h30,oui,non,oui,,100 plus belles,
Pourpevelle (Gouffre de),,Doubs,912572.15,2281559.59,,405,106,10755,oui,6h,,,,,100 plus belles,http://www.csr-bfc.fr/fiche_pourpevelle.html
Maurepos (grotte de),,Doubs,923144.19,2249994.41,,,75,3260,canot,6h,,oui,,,100 plus belles,
Balme (Grotte de),,Haute-Savoie,931169.69,2124796.82,,723,141,4075,tuyaux 45mm,5h ,non,non,non,,100 plus belles / fermée mairie / siphon a désamorcer,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=162
Murailles de Chine,,Carroz,936017.02,2122551.063,27572,1610,-850,,oui (équipé),13,non,,non,,,
Gébroulaz ,,,936401.35,2043928.69,,2630,-65,400,,2h,non,oui,,oui,,
Roche (Grotte de la ),,Doubs,940695.06,2268822.02,,,,,neop  ,5h ,,oui,,,100 plus belles,
Chat (Grotte du),,Alpes-Maritime,956931.96,1902171.33,,,,720,non,2h,oui,non,oui,,100 plus belles,
Baume-obscure (Grotte de),,Alpes-Maritime,961116.97,1864946.3,,,80,1150,non,4h,oui,non,oui,,100 plus belles,
Embut de Caussols,,Alpes-Maritime,969053.53,1870646.9,,1071,37,240,neop +15m,1h30,,oui,,,100 plus belles,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=20224
Revest (grotte du),,,974924.96,1871399.32,,700,-145,3000,20m,1h30,oui,non,,oui,,
Mescla (grotte de la),,Alpes-Maritime,989174.88,1891044,,200,-130,3000,(bateau),1h ,oui,non,,oui,,
