#The data included in this document is from www.refuges.info. The data is made available under CC By-Sa 2.0
id_point;nom;type;altitude;latitude;longitude;état;nombre de place;lien
6835;Grange de Falavier;cabane non gardée;1240;45.9377098527217;5.75793027877808;;;http://www.refuges.info/point/6835/cabane-non-gardee/Bugey/Grange-de-Falavier/
2497;Refuge-bivouac Tête des Roèses;cabane non gardée;3200;45.94931;7.57634;;12;http://www.refuges.info/point/2497/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-bivouac-Tete-des-Roeses/
44;Baraque de la Jasse;cabane non gardée;1567;45.4582;6.22525;;10;http://www.refuges.info/point/44/cabane-non-gardee/Belledonne/Baraque-de-la-Jasse/
2501;Refuge du camp des Rochilles;cabane non gardée;2410;45.0866;6.4661;;6;http://www.refuges.info/point/2501/cabane-non-gardee/Cerces-Ambin/Refuge-du-camp-des-Rochilles/
4156;Refuge-bivouac Oreste Bossi;cabane non gardée;3345;45.97141;7.66913;;9;http://www.refuges.info/point/4156/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-bivouac-Oreste-Bossi/
1715;Refuge-bivouac de l'épaule Isler (Biagio Musso);cabane non gardée;3664;45.9325;7.285;;9;http://www.refuges.info/point/1715/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-bivouac-de-l-epaule-Isler-Biagio-Musso/
1430;Refuge-igloo des Pantalons Blancs;cabane non gardée;3280;46.0405;7.3684;;17;http://www.refuges.info/point/1430/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-igloo-des-Pantalons-Blancs/
6346;Refuge bivouac Gastaldi;cabane non gardée;2595;45.82668;7.85223;;4;http://www.refuges.info/point/6346/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-bivouac-Gastaldi/
5060;Grange a Lucien;cabane non gardée;1233;46.07543;5.71801;Fermée;0;http://www.refuges.info/point/5060/cabane-non-gardee/Bugey/Grange-a-Lucien/
2926;Abri du Petit Pâtre;cabane non gardée;1915;45.90773;6.55566;;0;http://www.refuges.info/point/2926/cabane-non-gardee/Bornes-Aravis/Abri-du-Petit-Patre/
30;Cabane de Barbuisson;cabane non gardée;1380;45.15549;5.5674;Fermée;15;http://www.refuges.info/point/30/cabane-non-gardee/Vercors/Cabane-de-Barbuisson/
42;Chalet de Brame Farine;cabane non gardée;1200;45.39635;6.04324;Détruite;0;http://www.refuges.info/point/42/cabane-non-gardee/Belledonne/Chalet-de-Brame-Farine/
6347;Refuge bivouac Mamo Comotti;cabane non gardée;3550;45.90244;7.82906;;6;http://www.refuges.info/point/6347/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-bivouac-Mamo-Comotti/
